name	joint1	joint2
head__neck	head	neck
neck__shoulder_c	neck	shoulder_c
shoulder_c__shoulder_l	shoulder_c	shoulder_l
shoulder_c__shoulder_r	shoulder_c	shoulder_r
shoulder_l__elbow_l	shoulder_l	elbow_l
shoulder_r__elbow_r	shoulder_r	elbow_r
elbow_l__wrist_l	elbow_l	wrist_l
elbow_r__wrist_r	elbow_r	wrist_r
wrist_l__thumb_l	wrist_l	thumb_l
wrist_r__thumb_r	wrist_r	thumb_r
wrist_l__hand_l	wrist_l	hand_l
wrist_r__hand_r	wrist_r	hand_r
hand_l__handtip_l	hand_l	handtip_l
hand_r__handtip_r	hand_r	handtip_r
shoulder_c__hip	shoulder_c	hip
hip__hip_l	hip	hip_l
hip__hip_r	hip	hip_r
hip_l__knee_l	hip_l	knee_l
hip_r__knee_r	hip_r	knee_r
knee_l__ankle_l	knee_l	ankle_l
knee_r__ankle_r	knee_r	ankle_r
ankle_l__foot_l	ankle_l	foot_l
ankle_r__foot_r	ankle_r	foot_r
