name	osc
cell_a/active	xyz/foooo
cell_a/activecount	
cell_a/activeplayer	
cell_a/hand_l:tx	stuff/things/param1
cell_a/hand_l:ty	
cell_a/hand_l:tz	stuff/things/param3
cell_a/hand_r:tx	
cell_a/hand_r:ty	
cell_a/hand_r:tz	
cell_d/active	
cell_d/activecount	
cell_d/activeplayer	
cell_d/hand_l:tx	
cell_d/hand_l:ty	
cell_d/hand_l:tz	stuff/whatever/param3
cell_d/hand_r:tx	
cell_d/hand_r:ty	
cell_d/hand_r:tz	
cell_f/active	etc/foo/param1
cell_f/activecount	
cell_f/activeplayer	
cell_f/hand_l:tx	
cell_f/hand_l:ty	
cell_f/hand_l:tz	
cell_f/hand_r:tx	
cell_f/hand_r:ty	
cell_f/hand_r:tz	
cell_g/active	
cell_g/activecount	
cell_g/activeplayer	
cell_g/hand_l:tx	
cell_g/hand_l:ty	
cell_g/hand_l:tz	
cell_g/hand_r:tx	
cell_g/hand_r:ty	
cell_g/hand_r:tz	
cell_h/active	
cell_h/activecount	
cell_h/activeplayer	
cell_h/hand_l:tx	
cell_h/hand_l:ty	
cell_h/hand_l:tz	
cell_h/hand_r:tx	
cell_h/hand_r:ty	
cell_h/hand_r:tz	
